Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0120F00006 MANIFOLD                ,8.88,1.0,1.0,60.0,10,75,153.88,223.13,200.81
0120F00007 MANIFOLD                ,10.14,1.0,1.0,60.0,10,75,155.14,224.95,202.46
0120F00008 MANIFOLD                ,10.5,1.0,1.0,60.0,10,75,155.5,225.48,202.93
0121A00242PDG FILTER ACCESS DOOR   ,2.94,0.5,1.0,30.0,10,75,117.94,171.01,153.91
0121A00305PDG DRIP SHIELD          ,13.62,0.5,1.0,30.0,10,75,128.62,186.5,167.85
0121A00610PDG TOP ACCESS DOOR      ,15.75,0.5,1.0,30.0,10,75,130.75,189.59,170.63
0121A00611PDG UPPER ACCESS DOOR    ,12.87,0.5,1.0,30.0,10,75,127.87,185.41,166.87
0121A00619PDGS                     ,59.11,1.0,1.0,60.0,10,75,204.11,295.96,266.36
0121A00620PDG LOWER PANEL          ,9.14,1.0,1.0,60.0,10,75,154.14,223.5,201.15
0121F00071DGS PANEL                ,86.97,1.0,1.0,60.0,10,75,231.97,336.36,302.72
0121F00074DGS PANEL**DISC**        ,80.16,1.0,1.0,60.0,10,75,225.16,326.48,293.83
0121F00122LGS BLOWER DOOR PANEL    ,42.32,0.5,1.0,30.0,10,75,157.32,228.11,205.3
0121F00123DGS DOOR                 ,47.21,0.5,1.0,30.0,10,75,162.21,235.2,211.68
0121F00289DGS BLOWER DOOR          ,58.02,0.5,1.0,30.0,10,75,173.02,250.88,225.79
0121F00290DGS DOOR BLOWER 24.5     ,60.25,0.5,1.0,30.0,10,75,175.25,254.11,228.7
0121F00292DGS FURNACE DOOR         ,57.02,0.5,1.0,30.0,10,75,172.02,249.43,224.49
"0121F00336S COLL BOX 14""           ",24.32,1.0,1.0,60.0,10,75,169.32,245.51,220.96
0121F00339LGS DOOR ACCESS          ,57.49,0.5,1.0,30.0,10,75,172.49,250.11,225.1
0121F00389 DOOR SWITCH BRACKET     ,0.44,0.5,1.0,30.0,10,75,115.44,167.39,150.65
0121F00509  DOOR SWITCH BRACKET    ,4.93,0.5,1.0,30.0,10,75,119.93,173.9,156.51
0121G00047PDGS CORNER POST         ,74.14,1.0,1.0,60.0,10,75,219.14,317.75,285.98
0121G00048PDGS CORNER PANEL        ,71.87,1.0,1.0,60.0,10,75,216.87,314.46,283.02
0121G00069PDGS LOUVERED PANEL      ,119.56,1.0,1.0,60.0,10,75,264.56,383.61,345.25
0121G00069PDGSGPH PANEL            ,121.89,1.0,1.0,60.0,10,75,266.89,386.99,348.29
0121G00069PLGS LOUVERED PANEL      ,99.24,1.0,1.0,60.0,10,75,244.24,354.15,318.73
0121G00072PDGS GPH PANEL           ,94.59,1.0,1.0,60.0,10,75,239.59,347.41,312.66
0121G00072PLGS LOUVERED PANEL      ,90.49,1.0,1.0,60.0,10,75,235.49,341.46,307.31
0121G00156PDGS TOP PANNEL          ,287.76,1.0,1.0,60.0,10,75,432.76,627.5,564.75
